heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC3,28,"3686",133,3686,"990",41,990,"690,229",true
HC3,29,"3686",133,3686,"990",41,990,"689,578",true
HC4,0,"3686",133,3686,"990",41,990,"861,664",true
HC4,1,"3686",133,3686,"990",41,990,"873,375",true
HC4,2,"3686",133,3686,"990",41,990,"939,003",true
HC4,3,"3686",133,3686,"990",41,990,"914,75",true
HC4,4,"3686",133,3686,"990",41,990,"867,696",true
HC4,
HC4,6,"3686",133,3686,"990",41,990,"896,855",true
HC4,7,"3686",133,3686,"990",41,990,"905,262",true
HC4,8,"3686",133,3686,"990",41,990,"919,334",true
HC4,9,"3686",133,3686,"990",41,990,"966,885",true
HC4,
HC4,11,"3686",133,3686,"990",41,990,"935,736",true
HC4,12,"3686",133,3686,"990",41,990,"912,212",true
HC4,13,"3686",133,3686,"990",41,990,"952,058",true
HC4,14,"3686",133,3686,"990",41,990,"872,061",true
HC4,15,"3686",133,3686,"990",41,990,"910,063",true
HC4,16,"3686",133,3686,"990",41,990,"883,462",true
HC4,
HC4,
HC4,19,"3686",133,3686,"990",41,990,"885,322",true
HC4,20,"3686",133,3686,"990",41,990,"984,723",true
HC4,21,"3686",133,3686,"990",41,990,"941,458",true
HC4,22,"3686",133,3686,"990",41,990,"933,2",true
HC4,23,"3686",133,3686,"990",41,990,"937,916",true
HC4,24,"3686",133,3686,"990",41,990,"923,675",true
HC4,25,"3686",133,3686,"990",41,990,"909,447",true
HC4,26,"3686",133,3686,"990",41,990,"863,859",true
HC4,27,"3686",133,3686,"990",41,990,"880,857",true
HC4,28,"3686",133,3686,"990",41,990,"868,132",true
HC4,29,"3686",133,3686,"990",41,990,"890,448",true
HC5,0,"3686",133,3686,"995",41,995,"450,596",true
HC5,1,"3686",133,3686,"990",41,990,"900,216",true
HC5,2,"3686",133,3686,"990",41,990,"637,22",true
HC5,
HC5,4,"3686",133,3686,"1043",41,1043,"446,427",true
HC5,5,"3686",133,3686,"990",41,990,"876,455",true
HC5,6,"3686",133,3686,"1019",43,1019,"609,504",true
HC5,7,"3686",133,3686,"1084",45,1084,"538,054",true
HC5,8,"3686",133,3686,"990",41,990,"709,087",true
HC5,
HC5,
HC5,
HC5,12,"3686",133,3686,"990",41,990,"844,828",true
HC5,13,"3686",133,3686,"1043",45,1043,"897,188",true
HC5,14,"3686",133,3686,"1151",46,1151,"628,018",true
HC5,15,"3686",133,3686,"1031",41,1031,"445,663",true
